number,bin_volume,filled_bins,empty_bins,colors,a_star_tree_h2_time,a_star_tree_h2_sol,a_star_tree_h2_expanded,a_star_graph_h2_time,a_star_graph_h2_sol,a_star_graph_h2_expanded,a_star_tree_h3_time,a_star_tree_h3_sol,a_star_tree_h3_expanded,a_star_graph_h3_time,a_star_graph_h3_sol,a_star_graph_h3_expanded,random_walk_time,random_walk_sol,random_walk_restart,hill_no_sideways_h1_time,hill_no_sideways_h1_sol,hill_sideways_h1_time,hill_sideways_h1_sol,hill_no_sideways_h2_time,hill_no_sideways_h2_sol,hill_sideways_h2_time,hill_sideways_h2_sol,hill_no_sideways_h3_time,hill_no_sideways_h3_sol,hill_sideways_h3_time,hill_sideways_h3_sol,dfs_graph_time,dfs_graph_sol,dfs_graph_expanded,bfs_graph_time,bfs_graph_sol,bfs_graph_expanded
832,4,4,2,4,0.006767821,11.0,42,0.076078653,11.0,42,0.009817863,11.0,48,0.0089463,12,48,0.003266788,21,0,0.001293516,,0.081319547,,0.008137703,8.0,0.00911057,8.0,0.001400042,,0.011021161,9.0,0.0433063507080078,69,365,1.5701582431793213,,10000
833,4,4,2,4,0.00722158,12.0,46,0.094788074,12.0,46,0.6237282037734986,12.0,3008,0.066191411,13,245,0.003732085,21,0,0.002734804,,0.072884893,,0.006200719,7.0,0.006561685,7.0,0.00775485,7.0,0.006528926,7.0,0.0615025758743286,100,531,1.54280424118042,,10000
834,4,4,2,4,0.6856430530548095,11.0,3762,0.6336829662322998,11.0,262,0.085239553,11.0,455,0.09102726,12,385,0.003810072,16,0,0.001820683,,0.071507454,,0.007428432,,0.009168243,12.0,0.00140419,,0.079731989,,0.0697576999664306,100,640,1.5997676849365234,,10000
835,4,4,2,4,0.1820650339126586,8.0,1091,0.2047195434570312,8.0,103,0.008709836,8.0,47,0.009521985,9,47,0.003531647,14,0,0.001204205,,0.097474074,,0.004922056,,0.008945966,13.0,0.010443377,12.0,0.011786628,12.0,0.0155543088912963,34,152,1.3517895936965942,,10000
836,4,4,2,4,0.037611842,10.0,182,0.9627413749694824,10.0,402,0.006579018,10.0,48,0.0119580507278442,11,48,0.003427768,27,0,0.001318264,,0.086716914,,0.009658575,10.0,0.009791493,10.0,0.010872936,10.0,0.011405277,10.0,0.0639319419860839,62,309,1.4126029014587402,,10000
837,4,4,2,4,0.0150006771087646,12.0,93,0.1387779712677002,12.0,71,0.0135705947875976,12.0,74,0.017418098449707,12,74,0.00462327,16,0,0.003018785,,0.083720827,,0.004030704,,0.006971669,8.0,0.003408098,,0.074157739,,0.0182900428771972,36,165,1.3420883417129517,,10000
838,4,4,2,4,0.005719662,11.0,41,0.07247591,11.0,41,0.0350948095321655,11.0,170,0.012799144,12,75,0.003495979,13,0,0.000998759,,0.04945209,,0.006529307,,0.052535987,,0.001298285,,0.007405162,9.0,0.0564500093460083,96,486,1.39228093624115,,10000
839,4,4,2,4,0.004763865,8.0,32,0.0530862808227539,8.0,32,0.0117830276489257,8.0,69,0.0111245870590209,9,59,0.0100688695907592,14,0,0.001112413,,0.081304216,,0.008951235,9.0,0.007583833,9.0,0.004026389,,0.009677768,10.0,0.0163618326187133,28,137,1.3157879114151,,10000
840,4,4,2,4,0.0124696731567382,9.0,74,0.1645073890686035,9.0,76,0.3992809772491455,9.0,2236,0.064092231,10,251,0.002947545,11,0,0.00141871,,0.103953743,,0.007751584,11.0,0.009528852,11.0,0.012726498,11.0,0.016666746,11.0,0.041001558303833,67,330,1.5980387926101685,,10000
841,4,4,2,4,0.007571149,10.0,41,0.093639851,10.0,41,0.0116460800170898,10.0,62,0.0105966567993164,10,62,0.003014064,15,0,0.001625276,,0.114180446,,0.010249925,11.0,0.01075685,11.0,0.001500058,,0.01690166,11.0,0.0511142015457153,82,399,1.4274208545684814,,10000
842,4,4,2,4,0.2214158535003662,10.0,1197,0.608142614,10.0,235,0.00975697,10.0,50,0.0106742620468139,11,50,0.003247547,21,0,0.003631043,,0.09502008,,0.006942558,,0.008543682,10.0,0.009545469,10.0,0.013313293,10.0,0.0162234306335449,36,152,1.5243935585021973,,10000
843,4,4,2,4,0.007265973,11.0,48,0.087640047,11.0,48,0.0139945745468139,11.0,84,0.0162130832672119,11,76,0.003804541,17,0,0.001499081,,0.099306679,,0.009440231,,0.011098766,11.0,0.006063747,,0.099838948,,0.0552892684936523,85,416,1.5962787866592407,,10000
844,4,4,2,4,0.004851747,8.0,32,0.065000296,8.0,32,0.012086368,8.0,63,0.008615327,8,55,0.001820612,11,0,0.002318239,,0.077233982,,0.006430387,6.0,0.005639529,6.0,0.001004791,,0.005831385,8.0,0.0174742937088012,26,116,1.5934746265411377,,10000
845,4,4,2,4,0.008569193,11.0,43,0.096340179,11.0,43,0.021450973,11.0,131,0.033139086,11,160,0.00292592,19,0,0.001602006,,0.092342615,,0.003739715,,0.009883642,13.0,0.001300025,,0.100005364,,0.1053107976913452,100,649,1.304492712020874,,10000
846,4,4,2,4,0.034368825,10.0,167,0.1268157958984375,10.0,58,0.016173243522644,10.0,88,0.0198397159576416,11,77,0.002711344,16,0,0.001417708,,0.079303265,,0.006693387,,0.012501764,13.0,0.001100016,,0.012754941,14.0,0.0557550191879272,90,444,1.0623345375061035,7.0,8358
847,4,4,2,4,0.0163951635360717,7.0,105,0.2725865840911865,7.0,128,0.0177953243255615,7.0,112,0.015914845,8,70,0.002054405,15,0,0.001106286,,0.12218771,,0.00992198,10.0,0.00969708,10.0,0.007868814,,0.013013673,12.0,0.0374809503555297,69,336,1.6331987380981443,,10000
